Job Title,Salary Estimate,Rating,Company Name,Description,Location,size,type,sector,founded,industry,revenue,Hourly_salary,Employer Provided_salary,minimum_salary,maximum_salary,Average Salary,Company,State,Age,Age of company,javascript,java,cloud,python,aws,software_development
Software Engineer I,$85K - $121K (Glassdoor est.),4.2,"The Trade Desk
4.2","The Trade Desk is a global technology company with a mission to create a better, more open internet for everyone through principled, intelligent advertising. Handling over 1 trillion queries per day, our platform operates at an unprecedented scale. We have also built something even stronger and more valuable: an award-winning culture based on trust, ownership, empathy, and collaboration. We value the unique experiences and perspectives that each person brings to The Trade Desk, and we are committed to fostering inclusive spaces where everyone can bring their authentic selves to work every day.
Do you have a passion for solving hard problems at scale? Are you eager to join a dynamic, globally-connected team where your contributions will make a meaningful difference in building a better media ecosystem? Come and see why Fortune magazine consistently ranks The Trade Desk among the best small-medium-sized workplaces globally.
Software Engineer I
About the Role:
Our Engineers are end-to-end owners. You will participate actively in all aspects of designing, building, and delivering products for our clients.
We have dozens of individuals, mission-focused teams working across a wide spectrum of technological challenges. You will have the opportunity, depending on your interests and aptitude, to work on large-scale distributed systems coordinating thousands of servers in cloud and physical data centers around the world, petabyte-scale data challenges, machine learning, advanced visualizations, and interactive user interfaces – to name a few.
Who We Are Looking For:
You have a sustained track record of making significant, self-directed, and end-to-end contributions to large and impactful software projects. You think beyond just the task at hand to deeply understand the 'why' behind what you are doing.
You understand engineering fundamentals. At our scale, many off-the-shelf techniques and existing technologies (open source and enterprise) simply don't work. You are able to work from first principles to evaluate solutions and adapt them to a unique environment.
You are a broadly skilled engineer, accustomed to developing web services. You have experience building always-on systems, working across a variety of technologies and service layers.
You have a product-focused mindset. You have the passion and ability to contribute to the process of discovering what will delight our clients and push forward one of the world’s largest and most influential industries toward a vision of openness, transparency, and evidence-based decision-making.
You work with confidence and without ego. Our engineers have deep knowledge and exercise a high degree of leadership in their daily work. You have strongly-held, defensible ideas, and advocate for what you believe is right. You are also adept at identifying and evaluating trade-offs, willing to be proven wrong, and quick to walk through fire to support your fellow teammates.
You value, seek out, and foster diversity. We are a global team from many diverse backgrounds, with different experiences and perspectives. To complement this team, you will welcome ideas that are different from your own and be skilled at finding and building from common ground.
You are a creative thinker, not bound by ""the way things have always been done"". What you know is less important than how well you learn and innovate. We don't need engineers who know all the answers; we need engineers who can invent the answers no one has thought of yet, to the questions yet to be asked.
What We Care About:
What and how you can contribute is what’s important to us. Our consideration is not limited by the kind of education you have or the specific technologies you have experience with. Variety of technical challenge is one of the best things about working at The Trade Desk as an engineer, but we do not expect you to know every technology we use when you start. What we care about is that you can learn quickly and solve complex problems using the best tools for the job.
Our culture runs much deeper than just having fun together (though, we do that well too...) – the people we want on our team are trust-builders, generous givers, scrappy problem solvers, and gritty pursuers of excellence.
Does this sound like you? If so, we welcome your application and the chance to meet you.
The Trade Desk does not accept unsolicited resumes from search firm recruiters. Fees will not be paid in the event a candidate submitted by a recruiter without an agreement in place is hired; such resumes will be deemed the sole property of The Trade Desk. The Trade Desk is an equal opportunity employer. All aspects of employment will be based on merit, competence, performance, and business needs. We do not discriminate on the basis of race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal, state, or local law.
To apply to this job, click Apply Now
Show Less","Chandler, AZ",1001 to 5000 Employees,Company - Public,Information Technology,2009.0,Internet & Web Services,$1 to $5 billion (USD),0,0,85.0,121.0,103.0,The Trade Desk, AZ,13.0,13.0,0,0,1,0,0,0
Software Engineer 1 - Mobile,$74K - $109K (Glassdoor est.),4.1,"Garmin International, Inc.
4.1","Overview:
We are seeking a full-time Software Engineer 1 to join our Consumer Automotive team in our Chandler, AZ office. This growing mobile team of experienced, collaborative, and passionate engineers are involved with every part of the automotive business. This includes enhancing the off-road experience and safety through trip planning and tracking of groups, advancing health and safety for truck drivers with the use of our new Dēzl app and watch, being on the cutting edge of mobile mapping solutions using onboarded and streaming online maps, facilitating viewing and sharing of video from Garmin's very popular backup cameras and dashcams, and more. In this role, you will be responsible for building upon existing software solutions to develop basic software for Garmin products and/or applications.

Responsibilities:
Essential Functions
Performs new product and/or application software design and development as well as maintenance activities for products and/or applications already in production using C++, C#, Java, Kotlin, Swift, Objective-C, or other selected languages
Troubleshoots basic issue reports, reproduces issues, evaluates technical cause and implements and tests software solutions
Identifies and resolves defects of basic scope using proper engineering tools and techniques
Applies design standards and procedures using appropriate engineering tools to document and implement basic designs in an organized manner
Qualifications:
Basic Qualifications
Bachelor’s Degree in Computer Science, Electrical Engineering, Computer Engineering, Software Engineering, Math, Physics or related field OR an equivalent combination of education and experience
Excellent academics (cumulative GPA greater than or equal to 3.0 as a general rule)
Demonstrated knowledge, education, experience and/or training necessary to develop basic software in C++, C#, Java, Kotlin, Swift, Objective-C or other object-oriented languages
Desired Qualifications
Outstanding academics (cumulative GPA greater than or equal to 3.5)
Previous work or internship experience in design, particularly for consumer products
Experience with Kotlin and/or Swift
Strong command of C++
An interest in mobile application development!

Garmin International is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, citizenship, sex, sexual orientation, gender identity, veteran’s status, age or disability.
Show Less","Chandler, AZ",10000+ Employees,Company - Public,Manufacturing,1989.0,Consumer Product Manufacturing,$1 to $5 billion (USD),0,0,74.0,109.0,91.5,"Garmin International, Inc.", AZ,33.0,33.0,0,1,0,0,0,0
Jr. Software Developer,Employer Provided Salary:$70K - $90K,4.0,"Softnice Inc.
4.0","Bachelor’s degree in computer science.
Knowledge of basic coding languages including C++, HTML5, and JavaScript.
Basic programming experience.
Knowledge of databases and operating systems.
Good working knowledge of email systems and Microsoft Office software.
Job Type: Full-time
Pay: $70,000.00 - $90,000.00 per year
Schedule:
8 hour shift
Experience:
REST: 1 year (Preferred)
Java: 1 year (Preferred)
Work Location: Remote
Show Less","Chandler, AZ",501 to 1000 Employees,Company - Private,Information Technology,2001.0,Information Technology Support Services,$25 to $100 million (USD),0,1,70.0,90.0,80.0,Softnice Inc., AZ,21.0,21.0,1,1,0,0,0,0
2023 University Graduate - Software Engineer,$105K - $155K (Glassdoor est.),4.4,"Adobe
4.4","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

Position: 2023 University Graduate - Software Development Engineer 1
Req ID: R134155
Location: San Jose

Our Company
Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands— everything they need to design and deliver exceptional digital experiences. We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen. We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours.

The Opportunity
Adobe is seeking talented and passionate Software Engineer across all organizations to help plan, design, develop, and test software systems or applications for software enhancements and new products used in local, networked, cloud-based or Internet-related computer programs and products. We’re on a mission to hire the very best and are committed to building exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

What You’ll Do

Develop high-performance, reliable, testable and maintainable code.

Participating in all aspects of software development activities, including design, coding, code review, testing, bug fixing, and code/API documentation.

Collaborate with engineers and participate in daily or weekly stand ups and meetings.

Grow with the support of your team and help others on the team grow by providing thoughtful feedback and uplifting those around you.

Work both independently and collaboratively within a fast-paced development team, with clear, positive, and constructive communication.

Additional responsibilities as needed based on specific role or team

What You Need to Succeed

Currently enrolled full time and pursuing a Bachelor’s or Master’s in Computer Science, Computer Engineering, Electrical Engineer, or equivalent experience required

Proficient in programming languages such as Python, Java, C++ etc.

Strong technical background with analytical and problem-solving skills

Familiar with 3D concepts like scene graphs, materials, textures, and animations

Passionate about building tools for creative professionals

Excellent problem solving and debugging skills, and direct experience with DevOps in a SaaS environment is a plus.

Customer focused and have real passion for quality and engineering excellence at scale.

Excellent communication and collaboration skills.

If you’re looking to make an impact, Adobe’s the place for you. Discover what our employees are saying about their career experiences on the Adobe Life blog and explore the meaningful benefits we offer.

Adobe is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, sexual orientation, gender identity, disability or veteran status.
Start your job application: click Apply Now
Show Less","Chandler, AZ",10000+ Employees,Company - Public,Information Technology,1982.0,Computer Hardware Development,$5 to $10 billion (USD),0,0,105.0,155.0,130.0,Adobe, AZ,40.0,40.0,0,1,1,1,0,1
Software Engineer,Employer Provided Salary:$70.00 - $80.00Per Hour,2.8,"Synergy Solutions
2.8","Work is 100% REMOTE
Work is ITAR regulated
Skills:
C programming language experience (5+ years)
Linux experience (Xilinx PetaLinx preferred)
Graphics Driver development experience
OpenGL 1.1
OpenGL (SC 1.0.1 preferred)
Vulkan API experience (Vulkan Safety Critical preferred)
Experience with 3DLabs GAMMA/GLINT chipset
Experience with e9171 GPU (preferred)
We have an application (in “C”) that runs on Linux and on a Xilinx Ultrascale ARM-core SOC hardware platform. The application takes in a data stream (over a legacy PCI bus) that was originally intended for a now obsolete chipset (one 3DLabs GAMMA 2 and two GLINT R4 chips). The application converts these legacy register and function calls into OpenGL SC 1.0.1 library calls running on a Vulkan driver. This converted data is then routed to an AMD e9171 GPU for rendering to two separate cockpit displays
You would work with the internal integration team to analyze source code and log files to determine the root cause of any problems that might arise and make code modifications to improve function and performance. The documentation and formal testing will be done by other team members.
Equal Opportunity Employer/Veterans/Disabled
To read our Candidate Privacy Information Statement, which explains how we will use your information, please visit https://www.entegee.com/candidate-privacy-information-statement/
The Company will consider qualified applicants with arrest and conviction
Job Types: Full-time, Contract
Pay: $70.00 - $80.00 per hour
Benefits:
401(k)
Dental insurance
Health insurance
Life insurance
Referral program
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
C programming: 5 years (Preferred)
Linux: 2 years (Preferred)
Work Location: Remote
Show Less","Chandler, AZ",1001 to 5000 Employees,HR Consulting,$25 to $100 million (USD),0.0,Human Resources & Staffing,-1,1,1,70.0,80.0,75.0,Synergy Solutions, AZ,0.0,0.0,0,0,0,0,0,0
Software Engineer- Recent Graduate,$103K - $165K (Glassdoor est.),4.0,"PayPal
4.0","At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: Software Engineers at PayPal develop innovative solutions and high-quality products that touch millions of people every day around the globe. Our engineers solve some of the most complex technical problems in the world of connected payments across all business units, including PayPal, Braintree, Venmo, Paydiant and others. We are looking for the highest levels of technical talent and programming skills, as well as a keen desire to deeply understand our products and services to push our technology forward with respect to functionality, performance, reliability, and scalability. You’ll work alongside the best and the brightest engineering talent in the industry. We have opportunities in a wide range of areas including development, design, search, platform, test, quality, big data, front end and back end. As a core participant of your team, you’ll estimate engineering efforts, design your changes, implement and test your changes, push to live, and triage production issues. You need to be dynamic, collaborative, and curious as we build new experiences, improve existing products, and develop distributed systems powering the world’s largest e-commerce and payments websites at a scale only a few companies can match.
Job Description:
Key Responsibilities:
Code high-volume and scalable software (front-end and/or back-end focused). This may include creating web applications using React/Node, creating back-end services using Java, SQL, ReST and/or building and developing new user-facing experiences
Partner closely with cross functional teams in design, product and other business units

Basic Requirements:
Strong applied experience. You’ve built, broken, and rebuilt software applications. We’re looking for creative thinkers who also know how to create real-world products.
Working knowledge of web technologies (such as HTTP, HTML/DOM, JavaScript, CSS, AJAX)
Familiarity with any or multiple of the following: Node.js applications, Java, C++. Python
Understanding of concepts like Web Services, SOA, REST APIs
A constant desire to grow, learn, and explore new things

Recent Graduate Position Information and Requirements:
This is a Recent Graduate Full-Time position.
Must have graduated within the past 12 months, or will be graduating by Spring 2023, with a Bachelor’s or Master’s degree in Computer Science or related field from an accredited college or university.
Must reside in the U.S.
Must be able to obtain authorization to work in the U.S.

Application Process
Note - This job posting is a general advertisement for all PayPal Software Engineer opportunities for recent graduates
Applicants will be asked to complete a skills assessment via HackerRank
Following the assessment, applicants will hear back from a University Recruiter with next steps
globaluniversitygraduatesoftwareengineering
Our Benefits:

At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.

We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com

Who We Are:

To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx

PayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.
PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.
As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.
To apply to this job, click Apply Now
Show Less","Chandler, AZ",10000+ Employees,Company - Public,Information Technology,1998.0,Internet & Web Services,$10+ billion (USD),0,0,103.0,165.0,134.0,PayPal, AZ,24.0,24.0,1,1,0,1,0,0
"Frontend Software Engineer, Simulation",$108K - $169K (Glassdoor est.),4.0,"Waymo
4.0","Waymo is an autonomous driving technology company with a mission to make it safe and easy for people and things to get where they’re going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Waymo Driver—The World’s Most Experienced Driver™—to improve everyone's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our fully autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 20 billion miles of simulation testing.
As a Frontend SWE in the Simulation team, you’ll work on the user-facing infrastructure that all of Waymo uses to find, analyze, and annotate data critical for understanding Waymo’s performance. These web frontends are used by every part of Waymo, including SWEs, PMs, Data Scientists, Ops, and Research. These tools are a core part of solving almost every self-driving challenge Waymo faces.
You would work with a small but quickly growing team and collaborate directly with users, product managers, and UX to build and own products that improve Waymo’s engineering capabilities around our toughest self-driving challenges.

You will own user-facing products essential to building the world’s most experienced driver, such as:
Implementing and scaling the software used by Waymo's Software Quality Operations team. This collection of systems allows Ops to triage and annotate Waymo’s ever growing datasets.
Implementing workflows and features for developers to evaluate their self-driving car changes effectively.
Collaborate across teams, with Onboard SWEs, Product Managers, Data Science, Operations, and UX.
Engineer solutions with an eye towards quality, performance, and stability.

At a minimum we’d like you to have:
A BS or MS in Computer Science or a similar discipline. An equivalent amount of real-life experience is also welcome.
Experience with modern web frameworks (e.g. Angular, React, TypeScript, Dart).
Passionate about infrastructure work: building internal tools, frameworks, and libraries.
Comfortable moving quickly and working directly with customers for feedback.
Excited about working on self-driving cars!

It’s preferred if you have:
Experience building developer productivity tools with a high degree of product excellence
Experience communicating and coordinating across teams
Open to full-stack development.

Note: The following is only applicable for roles hired in the US. As we keep the safety of our employees and our communities top of mind, COVID-19 vaccinations continue to be a critical prevention measure to help end the pandemic. Because of this, Waymo requires all US-based employees who perform work onsite for Waymo to be fully vaccinated against COVID-19. If you are unable to be vaccinated, Waymo will provide a reasonable accommodation consistent with applicable law.
Apply Now: click Apply Now
Show Less","Chandler, AZ",Unknown,Company - Private,Information Technology,2009.0,Computer Hardware Development,Unknown / Non-Applicable,0,0,108.0,169.0,138.5,Waymo, AZ,13.0,13.0,0,0,0,0,0,0
Software Engineer,Employer Provided Salary:$80K,3.8,"EDZ Systems
3.8","Software Engineer
Job Description
We are looking for a Software Engineer who can assist in all activities associated with the installation, configuration, and initial testing of COTS (Commercial Off The Shelf) applications. Applications run on IBM AIX and RedHat OpenShift platforms. Design cloud deployment packages and author installation instructions to produce a high quality, repeatable cloud deployment process. Provide level three technical support for production issues, testing activities, problem resolution, root cause analysis and permanent remediation.
Key Activities:
Provide technical expertise for software upgrade projects and new software projects in support of a national check processing platform.
Create technical artifacts such as technical designs, data configuration standards, installation instructions, and user guides.
Work with other teams to standardize, refine, and constantly improve cloud deployment, cloud development processes, development automation (DevSecOps), practices, and documentation.
Develop, write, and execute automated test plans and scripts in support of initial software verification testing.
With little or no direction, uses application development tools and utilities to analyze, research, troubleshoot, and resolve complex software problems.
With limited guidance, write scripts to automate deployment steps, monitor system health, perform automated testing, and interface with other cloud and on-premise platforms and applications.
Provide Level 3 application support including rotating 24 x 7 on-call support.
Occasionally work weekend or evening hours as needed.
Mentor other team members in supporting technologies, practices, and tools. * Act as technical consultant
Perform other duties as may be assigned.
Qualifications:
Associate’s degree from a two-year college or technical school or equivalent combination of education and/or work related experience. Bachelor’s degree from a four-year college or university preferred.Typically requires at least 3 years of relevant experience.
Strong leadership skills and experience in a leadership role for projects or teams.
Strong Unix technical skills are preferred.
Strong analytical and problem-solving skills; ability to think logically.
Strong troubleshooting skills and ability to perform thorough, methodical research to investigate problems and produce detailed written explanation of research results.
Excellent organization, interpersonal, oral communications, customer relations, and writing skills.
Strong initiative
System installation, configuration, build, deployment, automation, and support experience in a complex distributed and/or cloud installation environment highly desirable.
Experience with retail payments processing software including Financial Transaction Manager, or other payment software suites is preferred.
Experience with AIX, Websphere, DB2, MQ or transferrable skills are preferred.
Experience with Cloud Computing and deployment, RedHat OpenShift, Terraform, Kubernetes, Docker, or transferrable skills are highly desirable.
Experience with DevSecOps, Git/Bitbucket, Nexus, Jenkins, Fortify, or transferrable skills are desirable
Experience using ServiceNow, JIRA, automated testing tools and concepts, SharePoint, and Visio are desirable.
Demonstrate ability to coordinate resolution of complex problems under stressful situations.
Responds appropriately to highly complex problems under stressful situations.
Must work well in a team environment.
Individual is expected to work additional hours as needed to complete assigned work.The primary desired work location for this position is Kansas City. We offer employees the flexibility to work from home up to 80 percent of the time, depending on specific team needs. Full time remote will also be considered for this position.
Incumbent must be fully vaccinated against COVID-19, unless the organization grants an accommodation based on a medical condition or sincerely held religious belief.
Job Type: Full-time
Pay: From $80,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Work Location: Remote
Show Less","Chandler, AZ",1 to 50 Employees,Company - Private,Information Technology,2015.0,Enterprise Software & Network Solutions,$1 to $5 million (USD),0,1,80.0,80.0,80.0,EDZ Systems, AZ,7.0,7.0,0,0,1,0,0,0
New Graduate Software Engineer,$77K - $113K (Glassdoor est.),3.3,"Medallion
3.3","About Medallion:
Healthcare is going through an unprecedented transformation towards digital care. Medallion provides the critical administrative infrastructure to make that change possible. Our platform enables organizations to license their providers in new states, verify existing credentials, and get in-network with health plans. In just over two years, we've launched our platform, built an all-star team, powered hundreds of great companies, and served thousands of healthcare providers across the industry. To date, Medallion has saved over 250,000 administrative hours for our customers!
Founded in 2020, Medallion has raised $85M from world-class investors like Sequoia Capital, Google Ventures, Spark Capital, Optum Ventures, and Salesforce Ventures.
About the Role:
You will work closely with senior members of the team on a variety of high-impact projects, shipping production code during your very first week, getting steady exposure to a broad set of technologies, and rapidly taking on more responsibility. Expect to achieve massive personal growth and ship features that make a meaningful impact on the healthcare system. All on a supportive and experienced team of engineers, PMs, and designers.
You will:
Work on meaningful projects with business impact from your very first day.
Gain expertise across the stack – full-stack web, platforms and services, cloud infrastructure.
Work closely with senior engineers on technical architecture and project planning.
Collaborate with PMs, designers, and other stakeholders on product design.
Write a lot of code :)
You may be a fit for this role if you:
Have a strong technical foundation (CS and/or software engineering)
Are a fast and motivated learner
Are an excellent communicator – both verbally and in writing
Get things done
You might also have:
A project you love talking about
An interest in starting your own company
#LI-remote
Show Less","Chandler, AZ",51 to 200 Employees,Company - Private,Manufacturing,2003.0,Consumer Product Manufacturing,$25 to $100 million (USD),0,0,77.0,113.0,95.0,Medallion, AZ,19.0,19.0,0,0,1,0,0,0
"Software Engineer, Frontend",$88K - $134K (Glassdoor est.),4.4,"Shopmonkey
4.4","As a Software Engineer, you will be working on a product squad to develop new features and enhancements for our product. You should demonstrate the mastery of the fundamentals of computer science and be comfortable with implementing and shipping end-to-end features and fixing complicated issues with supervision from a senior engineer. We are looking for self-motivated team members who crave a challenge and feel excited about rolling up their sleeves to realize our potential. This is a frontend position so you must have a good understanding of both the Frontend of our application.
The ideal candidate will have recently graduated from a four-year computer science degree program with little to no prior work experience. We expect candidates to know the basics of software engineering and to independently solve tightly scoped tasks. You will be expected to learn rapidly and start driving impact with your team.
You Will Have The Opportunity To:
Work directly with an Engineering Lead and other software engineers as part of a product squad
Be a self-starter with the ability to work effectively in team with a product manager, product designer, quality engineer and other team members of the squad
Operate in a fast-moving environment with the ability to adapt to changing priorities and requirements
We Are Looking For You If You Have:
JavaScript, TypeScript, and React experience
Git and GitHub or GitLab experience
Container services such as Kubernetes experience (a plus!)
PubSub/Eventing pattern experience (a plus!)
A bachelor's degree in Computer Science or similar field
The ability to come into our Austin office to work with senior leadership periodically
Why Shopmonkey?
Shopmonkey has become an amazing environment where employees feel that they are valued as people, and not just worker bees. To ensure that our team thrives, we invest in the following perks:
Fully Remote Work!
$1,000 to set up your home office
Phone/internet monthly reimbursements
Virtual lunch & learns, classes, committees and activities
Laptop and super rad swag provided
Unique opportunity: This is the best form of hybrid! All teams get to travel and meet up multiple times a year for collaboration. Shopmonkey also hosts an annual company-wide get together we call Rally
Health & Wellness
Medical, dental, vision, and life insurance benefits available from day 1
Short term and long term disability
Employee assistance program
$30 monthly home fitness or gym reimbursements
Generous parental leave
401(k) available upon hire
✈️ Time Off
11 Paid Holidays
10 scheduled holidays
1 floating holiday to observe what is important to you!
Flexible Time Off - Take the time off you need!
Giving Back
Matching donations for approved charitable organizations
Group volunteer efforts during work time
Personal & Professional Development
Active Culture and DEIB co-creation committees that host quarterly events
Career development opportunities
Check out our founder's story, life page, or hear from real employees about what it's like to work at Shopmonkey.
Join our team of hungry, humble, smart people who love what they do, and change the auto industry by helping every shop thrive.
About the Industry
The US is the second largest passenger vehicle market with more than 260 million registered passenger vehicles, and the global car repair market is estimated to be worth more than $500B. Shopmonkey aims to change the status quo and enable auto shops to become more efficient and give their customers a more delightful experience.
About Shopmonkey
Shopmonkey is the leading auto-repair shop software company; it is a cloud-based solution that helps auto-repair shops consolidate tools, save time, and streamline their entire operation onto a simple, easy-to-use platform.
Headquartered in Silicon Valley and trusted by more than 3,500+ auto shops across the U.S. and Canada, Shopmonkey aims to change the status quo of the global car repair market, estimated to be worth more than $500B.
In 2021 Shopmonkey raised a $75 million Series C, supported by top-tier Silicon Valley venture capital firms Bessemer Venture Partners, Index Ventures, Headline, I2BF, and ICONIQ Growth.
In 2022, Shopmonkey was named #4 on Forbes' annual ranking of America's Best Startup Employers list (and #1 in Business Products & Software Services).
Shopmonkey is committed to building a diverse and inclusive team. We are looking for team members that are committed to the Shopmonkey mission. All applicants will be considered for employment regardless of race, religion, sex, sexual orientation, gender identity, national origin, veteran, or disability status.
Show Less","Chandler, AZ",51 to 200 Employees,Company - Private,Information Technology,2016.0,Computer Hardware Development,Unknown / Non-Applicable,0,0,88.0,134.0,111.0,Shopmonkey, AZ,6.0,6.0,1,1,1,0,0,0
