,Job Title,Salary Estimate,Rating,Company Name,Description,Location,size,type,sector,founded,industry,revenue
0,Software Engineer I,$85K - $121K (Glassdoor est.),4.2,"The Trade Desk
4.2","The Trade Desk is a global technology company with a mission to create a better, more open internet for everyone through principled, intelligent advertising. Handling over 1 trillion queries per day, our platform operates at an unprecedented scale. We have also built something even stronger and more valuable: an award-winning culture based on trust, ownership, empathy, and collaboration. We value the unique experiences and perspectives that each person brings to The Trade Desk, and we are committed to fostering inclusive spaces where everyone can bring their authentic selves to work every day.
Do you have a passion for solving hard problems at scale? Are you eager to join a dynamic, globally-connected team where your contributions will make a meaningful difference in building a better media ecosystem? Come and see why Fortune magazine consistently ranks The Trade Desk among the best small-medium-sized workplaces globally.
Software Engineer I
About the Role:
Our Engineers are end-to-end owners. You will participate actively in all aspects of designing, building, and delivering products for our clients.
We have dozens of individuals, mission-focused teams working across a wide spectrum of technological challenges. You will have the opportunity, depending on your interests and aptitude, to work on large-scale distributed systems coordinating thousands of servers in cloud and physical data centers around the world, petabyte-scale data challenges, machine learning, advanced visualizations, and interactive user interfaces – to name a few.
Who We Are Looking For:
You have a sustained track record of making significant, self-directed, and end-to-end contributions to large and impactful software projects. You think beyond just the task at hand to deeply understand the 'why' behind what you are doing.
You understand engineering fundamentals. At our scale, many off-the-shelf techniques and existing technologies (open source and enterprise) simply don't work. You are able to work from first principles to evaluate solutions and adapt them to a unique environment.
You are a broadly skilled engineer, accustomed to developing web services. You have experience building always-on systems, working across a variety of technologies and service layers.
You have a product-focused mindset. You have the passion and ability to contribute to the process of discovering what will delight our clients and push forward one of the world’s largest and most influential industries toward a vision of openness, transparency, and evidence-based decision-making.
You work with confidence and without ego. Our engineers have deep knowledge and exercise a high degree of leadership in their daily work. You have strongly-held, defensible ideas, and advocate for what you believe is right. You are also adept at identifying and evaluating trade-offs, willing to be proven wrong, and quick to walk through fire to support your fellow teammates.
You value, seek out, and foster diversity. We are a global team from many diverse backgrounds, with different experiences and perspectives. To complement this team, you will welcome ideas that are different from your own and be skilled at finding and building from common ground.
You are a creative thinker, not bound by ""the way things have always been done"". What you know is less important than how well you learn and innovate. We don't need engineers who know all the answers; we need engineers who can invent the answers no one has thought of yet, to the questions yet to be asked.
What We Care About:
What and how you can contribute is what’s important to us. Our consideration is not limited by the kind of education you have or the specific technologies you have experience with. Variety of technical challenge is one of the best things about working at The Trade Desk as an engineer, but we do not expect you to know every technology we use when you start. What we care about is that you can learn quickly and solve complex problems using the best tools for the job.
Our culture runs much deeper than just having fun together (though, we do that well too...) – the people we want on our team are trust-builders, generous givers, scrappy problem solvers, and gritty pursuers of excellence.
Does this sound like you? If so, we welcome your application and the chance to meet you.
The Trade Desk does not accept unsolicited resumes from search firm recruiters. Fees will not be paid in the event a candidate submitted by a recruiter without an agreement in place is hired; such resumes will be deemed the sole property of The Trade Desk. The Trade Desk is an equal opportunity employer. All aspects of employment will be based on merit, competence, performance, and business needs. We do not discriminate on the basis of race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal, state, or local law.
To apply to this job, click Apply Now
Show Less","Chandler, AZ",1001 to 5000 Employees,Company - Public,Information Technology,2009,Internet & Web Services,$1 to $5 billion (USD)
1,Software Engineer 1 - Mobile,$74K - $109K (Glassdoor est.),4.1,"Garmin International, Inc.
4.1","Overview:
We are seeking a full-time Software Engineer 1 to join our Consumer Automotive team in our Chandler, AZ office. This growing mobile team of experienced, collaborative, and passionate engineers are involved with every part of the automotive business. This includes enhancing the off-road experience and safety through trip planning and tracking of groups, advancing health and safety for truck drivers with the use of our new Dēzl app and watch, being on the cutting edge of mobile mapping solutions using onboarded and streaming online maps, facilitating viewing and sharing of video from Garmin's very popular backup cameras and dashcams, and more. In this role, you will be responsible for building upon existing software solutions to develop basic software for Garmin products and/or applications.

Responsibilities:
Essential Functions
Performs new product and/or application software design and development as well as maintenance activities for products and/or applications already in production using C++, C#, Java, Kotlin, Swift, Objective-C, or other selected languages
Troubleshoots basic issue reports, reproduces issues, evaluates technical cause and implements and tests software solutions
Identifies and resolves defects of basic scope using proper engineering tools and techniques
Applies design standards and procedures using appropriate engineering tools to document and implement basic designs in an organized manner
Qualifications:
Basic Qualifications
Bachelor’s Degree in Computer Science, Electrical Engineering, Computer Engineering, Software Engineering, Math, Physics or related field OR an equivalent combination of education and experience
Excellent academics (cumulative GPA greater than or equal to 3.0 as a general rule)
Demonstrated knowledge, education, experience and/or training necessary to develop basic software in C++, C#, Java, Kotlin, Swift, Objective-C or other object-oriented languages
Desired Qualifications
Outstanding academics (cumulative GPA greater than or equal to 3.5)
Previous work or internship experience in design, particularly for consumer products
Experience with Kotlin and/or Swift
Strong command of C++
An interest in mobile application development!

Garmin International is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, citizenship, sex, sexual orientation, gender identity, veteran’s status, age or disability.
Show Less","Chandler, AZ",10000+ Employees,Company - Public,Manufacturing,1989,Consumer Product Manufacturing,$1 to $5 billion (USD)
2,ReactJS Frontend Engineer (LatAm),-1,4.7,"Outliant & AirCrew
4.7","We’re looking to hire a full-time, remote ReactJS Frontend Engineer. For this role, your primary focus will be collaborating with a team of developers in creating and implementing software applications and components. You’ll have the opportunity to choose your hours and work and learn with a team of world-class engineers and designers, through a commitment to team collaboration, communication, and product quality.
Requirements
At least 3 years of professional experience as a software developer
Deep experience with React, Material UI, JavaScript, CSS, and HTML
Experience with common IDEs/source control, and Figma
Exceptional requirements-gathering skills
Strong English language skills and located in US time zones
Motivated and critical thinker
Experience with Agile principles and processes
A candidate should have their own computer and stable internet connection to apply. We want a full-time employee that is only working for us and able to commit around 40 hours per week. You are in charge of your own hours!
About Us
Outliant is a fully-remote, US-based, digital product development and startup consulting company, with a team of culturally diverse creators whose exceptional skills and talents help conceive seamless digital products. Our teams exhibit work-play energy that supports individual growth, as well as encourages the freedom of creativity and “thinking outside the box.”
Why You Should Work with Us
As a full-time member of our team, you’ll enjoy:
Flexible hours - work whenever you choose
Work from home
Unlimited PTO
Non-working holidays per country of residence
13th-month bonus
Salary increases
Financial support for online courses
Mental health and well-being programs
Fun and casual work environment
Employee engagement activities and virtual gatherings
We are a very diverse bunch!
Show Less","Chandler, AZ",51 to 200 Employees,Company - Private,Information Technology,2019,Computer Hardware Development,Unknown / Non-Applicable
3,Manual Software QA Engineer - Computer Vision,-1,4.2,"Apple
4.2","Summary
Posted: Jul 22, 2022
Role Number:200404736
At Apple we tackle large scale engineering challenges to provide beautiful, intuitive products to our users. To build, maintain, and extend the necessary architecture for these tasks we are looking for an excellent software engineer in test. For us, algorithms, infrastructure, quality assurance and reporting are tightly integrated. You can expect to interact consistently with senior engineers and researchers. We are able to make reliable progress and deliver world class products because we are committed to code quality, testability and maintainability, critical skills to pick up in the early part of a software engineering career.
Key Qualifications
3+ years experience as a Software QA Engineer
Passion for quality, exceptional attention to detail
Proven hands on experience with manual testing
Strong knowledge of software development lifecycle, testing methodologies, QA terminology and processes
Excellent written and verbal communication skills, be able to describe and document clearly
Ability to multi-task and manage tasks with varying priorities
Ability to work cross-functionally with other teams and groups
Experience with computer vision/video processing preferred
Experience with image evaluation and performance testing preferred
Description
As a QA Engineer in this role, you will work closely with software design and development team to understand architectural diagrams, and utilize the information to develop QA strategies. You will be responsible for designing and maintaining manual test plan used in the testing of computer vision algorithms and applications. This also includes monitoring algorithm performance & testing result analysis, tracking bug reports and driving them to resolution.
Education & Experience
BS or MS CS/CE/EE (or equivalent)
Additional Requirements
Start your job application: click Apply Now
Show Less","Chandler, AZ",10000+ Employees,Company - Public,Information Technology,1976,Computer Hardware Development,$10+ billion (USD)
4,Jr. Software Developer,Employer Provided Salary:$70K - $90K,4.0,"Softnice Inc.
4.0","Bachelor’s degree in computer science.
Knowledge of basic coding languages including C++, HTML5, and JavaScript.
Basic programming experience.
Knowledge of databases and operating systems.
Good working knowledge of email systems and Microsoft Office software.
Job Type: Full-time
Pay: $70,000.00 - $90,000.00 per year
Schedule:
8 hour shift
Experience:
REST: 1 year (Preferred)
Java: 1 year (Preferred)
Work Location: Remote
Show Less","Chandler, AZ",501 to 1000 Employees,Company - Private,Information Technology,2001,Information Technology Support Services,$25 to $100 million (USD)
5,2023 University Graduate - Software Engineer,$105K - $155K (Glassdoor est.),4.4,"Adobe
4.4","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

Position: 2023 University Graduate - Software Development Engineer 1
Req ID: R134155
Location: San Jose

Our Company
Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands— everything they need to design and deliver exceptional digital experiences. We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen. We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours.

The Opportunity
Adobe is seeking talented and passionate Software Engineer across all organizations to help plan, design, develop, and test software systems or applications for software enhancements and new products used in local, networked, cloud-based or Internet-related computer programs and products. We’re on a mission to hire the very best and are committed to building exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

What You’ll Do

Develop high-performance, reliable, testable and maintainable code.

Participating in all aspects of software development activities, including design, coding, code review, testing, bug fixing, and code/API documentation.

Collaborate with engineers and participate in daily or weekly stand ups and meetings.

Grow with the support of your team and help others on the team grow by providing thoughtful feedback and uplifting those around you.

Work both independently and collaboratively within a fast-paced development team, with clear, positive, and constructive communication.

Additional responsibilities as needed based on specific role or team

What You Need to Succeed

Currently enrolled full time and pursuing a Bachelor’s or Master’s in Computer Science, Computer Engineering, Electrical Engineer, or equivalent experience required

Proficient in programming languages such as Python, Java, C++ etc.

Strong technical background with analytical and problem-solving skills

Familiar with 3D concepts like scene graphs, materials, textures, and animations

Passionate about building tools for creative professionals

Excellent problem solving and debugging skills, and direct experience with DevOps in a SaaS environment is a plus.

Customer focused and have real passion for quality and engineering excellence at scale.

Excellent communication and collaboration skills.

If you’re looking to make an impact, Adobe’s the place for you. Discover what our employees are saying about their career experiences on the Adobe Life blog and explore the meaningful benefits we offer.

Adobe is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, sexual orientation, gender identity, disability or veteran status.
Start your job application: click Apply Now
Show Less","Chandler, AZ",10000+ Employees,Company - Public,Information Technology,1982,Computer Hardware Development,$5 to $10 billion (USD)
6,Software Engineer,Employer Provided Salary:$70.00 - $80.00 Per Hour,2.8,"Synergy Solutions
2.8","Work is 100% REMOTE
Work is ITAR regulated
Skills:
C programming language experience (5+ years)
Linux experience (Xilinx PetaLinx preferred)
Graphics Driver development experience
OpenGL 1.1
OpenGL (SC 1.0.1 preferred)
Vulkan API experience (Vulkan Safety Critical preferred)
Experience with 3DLabs GAMMA/GLINT chipset
Experience with e9171 GPU (preferred)
We have an application (in “C”) that runs on Linux and on a Xilinx Ultrascale ARM-core SOC hardware platform. The application takes in a data stream (over a legacy PCI bus) that was originally intended for a now obsolete chipset (one 3DLabs GAMMA 2 and two GLINT R4 chips). The application converts these legacy register and function calls into OpenGL SC 1.0.1 library calls running on a Vulkan driver. This converted data is then routed to an AMD e9171 GPU for rendering to two separate cockpit displays
You would work with the internal integration team to analyze source code and log files to determine the root cause of any problems that might arise and make code modifications to improve function and performance. The documentation and formal testing will be done by other team members.
Equal Opportunity Employer/Veterans/Disabled
To read our Candidate Privacy Information Statement, which explains how we will use your information, please visit https://www.entegee.com/candidate-privacy-information-statement/
The Company will consider qualified applicants with arrest and conviction
Job Types: Full-time, Contract
Pay: $70.00 - $80.00 per hour
Benefits:
401(k)
Dental insurance
Health insurance
Life insurance
Referral program
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
C programming: 5 years (Preferred)
Linux: 2 years (Preferred)
Work Location: Remote
Show Less","Chandler, AZ",1001 to 5000 Employees,HR Consulting,$25 to $100 million (USD),Company - Private,Human Resources & Staffing,-1
7,Software Engineer - Integrations,-1,4.7,"Plaid
4.7","We believe that the way people interact with their finances will drastically improve in the next few years. We’re dedicated to empowering this transformation by building the tools and experiences that thousands of developers use to create their own products. Plaid powers the tools millions of people rely on to live a healthier financial life. We work with thousands of companies like Venmo, SoFi, several of the Fortune 500, and many of the largest banks to make it easy for people to connect their financial accounts to the apps and services they want to use. Plaid’s network covers 12,000 financial institutions across the US, Canada, UK and Europe. Founded in 2013, the company is headquartered in San Francisco with offices in New York, Salt Lake City, Washington D.C., London and Amsterdam. #LI-Remote

Integrations are the most mission-critical component of our infrastructure as it connects millions of financial accounts and billions of transactions to Plaid. As a software engineer on Plaid's Financial Access team, you will help preserve our access to data and improve our integration quality with thousands of financial institutions. You will create the necessary tools to build and maintain integrations, monitor and manage the health of these partnerships, and increase Plaid product coverage for financial institutions. You'll work mostly with a codebase written in Typescript and Go.

We're guided by our principles, including impact, growing together, embracing openness and positivity, inventing tomorrow; we’re looking for engineers who are motivated by those same principles.
What excites you
Working across multiple teams to tackle ambiguous and ambitious problems.
Building a strong sense of community within your team, collaborating and pairing with other engineers on the team to promote knowledge sharing, improve code quality, achieve operational gains etc.
Owning projects from the 0 to 1 stage and the 1 to 10 stage of problems.
Looking ahead at requirements and designing solutions by working across teams and sometimes with other functions.
If you are looking for the fast track to impact, this is it! We will need you to dive right in.
What excites us
2+ years of production experience, core fundamentals, and a strong command of at least one language.
Adaptability. Most of our engineers work across the entire stack, touching everything from the front-end to our core infrastructure.
Problem solving. Our work can often require implementing unconventional solutions; you aren’t afraid to explore new domains when previous methods fail, sort through minute details, or find non-engineering ways around the problem.
Impact driven. You understand how your work impacts millions of users.

Plaid is proud to be an equal opportunity employer and values diversity at our company. We do not discriminate based on race, color, national origin, ethnicity, religion or religious belief, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, military or veteran status, disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state, and local laws. Plaid is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance with your application or interviews due to a disability, please let us know at accommodations@plaid.com.
Show Less","Chandler, AZ",1001 to 5000 Employees,Company - Private,Information Technology,2012,Enterprise Software & Network Solutions,Unknown / Non-Applicable
8,Software Engineer (Frontend),-1,-1,Verdance,"Join Verdance and help build digital services so government can work for everyone.

About the job
In this role, you’ll design and build critical government digital services. At first, you’ll work with the CDC to modernize data reporting infrastructure to improve public health outcomes. You’ll join a cross-functional, dynamic team, figure out how to gracefully modernize existing systems, and strive to deliver a radically better experience to folks seeking assistance from the government.

Here’s what we hope you bring:
5+ years of engineering experience
Substantial experience with React/another JS framework, and enthusiasm to pick up new tools and languages as needed
Understanding of unit testing, CI/CD, and cloud services
Experience writing efficient, maintainable code
Desire to learn about government and help make it better
Desire to work at a small company focused on thoughtful growth
Curiosity, scrappiness, patience, and humility
Here’s what we’re offering in return:
4 weeks PTO per year + federal holidays
Insurance, including dental and vision
Office setup, equipment, and growth budgets
Flexible work schedule
A interview process that respects your time and is much quicker than average - we strive to have the process wrapped up in 2 weeks from the first call
Non-mandatory in-person team retreats - we ask for your commitment to the work, but if you’re interested in building community, that’s great too!
A little more about us
Verdance is a public interest technology firm, spun up to help government partners navigate critical technology challenges. We’re a new company, but with deep experience in government - we’ve started modern technology teams in Congress, helped rebuild HealthCare.gov, and modernized Veterans benefits.
Show Less","Chandler, AZ",-1,-1,-1,-1,-1,-1
9,Software Engineer- Recent Graduate,$103K - $165K (Glassdoor est.),4.0,"PayPal
4.0","At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: Software Engineers at PayPal develop innovative solutions and high-quality products that touch millions of people every day around the globe. Our engineers solve some of the most complex technical problems in the world of connected payments across all business units, including PayPal, Braintree, Venmo, Paydiant and others. We are looking for the highest levels of technical talent and programming skills, as well as a keen desire to deeply understand our products and services to push our technology forward with respect to functionality, performance, reliability, and scalability. You’ll work alongside the best and the brightest engineering talent in the industry. We have opportunities in a wide range of areas including development, design, search, platform, test, quality, big data, front end and back end. As a core participant of your team, you’ll estimate engineering efforts, design your changes, implement and test your changes, push to live, and triage production issues. You need to be dynamic, collaborative, and curious as we build new experiences, improve existing products, and develop distributed systems powering the world’s largest e-commerce and payments websites at a scale only a few companies can match.
Job Description:
Key Responsibilities:
Code high-volume and scalable software (front-end and/or back-end focused). This may include creating web applications using React/Node, creating back-end services using Java, SQL, ReST and/or building and developing new user-facing experiences
Partner closely with cross functional teams in design, product and other business units

Basic Requirements:
Strong applied experience. You’ve built, broken, and rebuilt software applications. We’re looking for creative thinkers who also know how to create real-world products.
Working knowledge of web technologies (such as HTTP, HTML/DOM, JavaScript, CSS, AJAX)
Familiarity with any or multiple of the following: Node.js applications, Java, C++. Python
Understanding of concepts like Web Services, SOA, REST APIs
A constant desire to grow, learn, and explore new things

Recent Graduate Position Information and Requirements:
This is a Recent Graduate Full-Time position.
Must have graduated within the past 12 months, or will be graduating by Spring 2023, with a Bachelor’s or Master’s degree in Computer Science or related field from an accredited college or university.
Must reside in the U.S.
Must be able to obtain authorization to work in the U.S.

Application Process
Note - This job posting is a general advertisement for all PayPal Software Engineer opportunities for recent graduates
Applicants will be asked to complete a skills assessment via HackerRank
Following the assessment, applicants will hear back from a University Recruiter with next steps
globaluniversitygraduatesoftwareengineering
Our Benefits:

At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.

We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com

Who We Are:

To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx

PayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.
PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.
As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.
To apply to this job, click Apply Now
Show Less","Chandler, AZ",10000+ Employees,Company - Public,Information Technology,1998,Internet & Web Services,$10+ billion (USD)
